year,state,region,population_in_m,victims_per_1m
2021,New Hampshire,Northeast,1.4,2.9
2021,Rhode Island,Northeast,1.1,11.9
2022,Delaware,Northeast,1.0,7.9
2022,Iowa,Midwest,3.2,5.0
2022,Ohio,Midwest,11.8,8.1
2022,Texas,Southwest,30.0,9.7
2022,Kansas,Midwest,2.9,5.1
2022,Nevada,West,3.2,12.0
2022,Oregon,West,4.2,7.1
2022,Alabama,Southeast,5.1,15.8
2022,Arizona,Southwest,7.4,11.3
2022,Florida,Southeast,22.2,6.8
2022,Georgia,Southeast,10.9,12.9
2022,Indiana,Midwest,6.8,11.3
2022,Arkansas,Southeast,3.0,14.4
2022,Colorado,West,5.8,13.7
2022,Illinois,Midwest,12.6,24.2
2022,Kentucky,Southeast,4.5,10.2
2022,Maryland,Northeast,6.2,13.6
2022,Michigan,Midwest,10.0,11.9
2022,Missouri,Midwest,6.2,12.0
2022,Nebraska,Midwest,2.0,12.2
2022,New York,Northeast,19.7,7.7
2022,Oklahoma,Southwest,4.0,10.4
2022,Virginia,Southeast,8.7,12.9
2022,Louisiana,Southeast,4.6,33.1
2022,Minnesota,Midwest,5.7,9.4
2022,Tennessee,Southeast,7.1,12.2
2022,Wisconsin,Midwest,5.9,14.9
2022,California,West,39.0,6.5
2022,New Jersey,Northeast,9.3,4.6
2022,New Mexico,Southwest,2.1,9.0
2022,Washington,West,7.8,6.8
2022,Connecticut,Northeast,3.6,3.3
2022,Mississippi,Southeast,2.9,24.8
2022,Pennsylvania,Northeast,13.0,13.0
2022,Massachusetts,Northeast,7.0,2.0
2022,North Carolina,Southeast,10.7,9.8
2022,South Carolina,Southeast,5.3,20.4
2022,District of Columbia,Northeast,0.7,61.0
